MayagÅez,MayagÅez,41061,SEGUNDO RUIZ BELVIS,SPR,M,1
Ponce,Santa Isabel,50468,RAM‡N JOSê DµVILA,SPR,M,2
Ponce,Santa Isabel,50468,RAM‡N JOSê DµVILA,SPR,M,3
Humacao,Yabucoa,22582,JOSê CAMPECHE,SPR,M,4
Ponce,Utuado,17863,NUEVA SUPERIOR VOCACIONAL,SPR,M,5
Arecibo,Vega Alta,75267,JUAN QUIRINDONGO MORELL (SUPERIOR),SPR,F,6
Arecibo,Vega Alta,71779,LADISLAO MART÷NEZ,SPR,F,7
Arecibo,Vega Alta,71779,LADISLAO MART÷NEZ,SPR,M,8
MayagÅez,Cabo Rojo,43315,LOLA RODR÷GUEZ DE TI‡,SPR,F,9
MayagÅez,Cabo Rojo,43315,LOLA RODR÷GUEZ DE TI‡,SPR,M,10
MayagÅez,Cabo Rojo,48264,LUIS NEGR‡N L‡PEZ,SPR,F,11
Ponce,Santa Isabel,56226,JOSê FELIPE ZAYAS,SPR,M,12
MayagÅez,Aguadilla,46995,LU÷S MU•OZ MARIN,SPR,F,13
Ponce,Santa Isabel,50468,RAM‡N JOSê DµVILA,SPR,F,14
Bayam¢n,Bayam¢n,70516,DR AGUSTIN STAHL,SPR,F,15
Caguas,Cidra,26013,ANA J. CANDELAS,SPR,F,16
MayagÅez,Cabo Rojo,46821,INêS MAR÷A MENDOZA DE MU•OZ MARIN,SPR,M,17
Bayam¢n,Toa Baja,71670,PEDRO ALBIZU CAMPOS,SPR,F,18
Humacao,Las Piedras,35501,SUP. VOC. MANUEL MEDIAVILLA,SPR,M,19
Ponce,Yauco,57620,µUREA E. QUILES CLAUDIO,SPR,F,20
MayagÅez,MayagÅez,41061,SEGUNDO RUIZ BELVIS,SPR,F,21
San Juan,Carolina,61853,µNGEL P. MILLµN ROHENA SUPERIOR,SPR,F,22
Humacao,Canovanas,33233,PEDRO FALU ORELLANO,SPR,M,23
Ponce,Yauco,55244,SUPERIOR OCUPACIONAL Y TECNICA DE YAUCO,SPR,F,24
Bayam¢n,Bayam¢n,70516,DR AGUSTIN STAHL,SPR,M,25
Bayam¢n,Bayam¢n,70615,MIGUEL DE CERVANTES SAAVEDRA,SPR,F,26
Bayam¢n,Bayam¢n,70201,PABLO CASALS (ESPECIALIZADA),SCR,M,27
Caguas,Cidra,23531,SUP. MIGUEL MELêNDEZ MU•OZ,SPR,M,28
Caguas,Cidra,27557,SUPERIOR VOCACIONAL,SPR,M,29
Caguas,Cidra,23531,SUP. MIGUEL MELêNDEZ MU•OZ,SPR,F,30
Bayam¢n,Toa Baja,78931,ADELA ROLON FUENTES,SPR,F,31
Arecibo,Vega Alta,71894,LINO PADRO RIVERA,SPR,F,32
Bayam¢n,Bayam¢n,70615,MIGUEL DE CERVANTES SAAVEDRA,SPR,M,33
Caguas,Gurabo,20982,REPÈBLICA DE COSTA RICA,SPR,M,34
Humacao,Las Piedras,35592,FLORENCIA GARC÷A,SPR,M,35
Ponce,Yauco,57620,µUREA E. QUILES CLAUDIO,SPR,M,36
Ponce,Yauco,55244,SUPERIOR OCUPACIONAL Y TECNICA DE YAUCO,SPR,M,37
Humacao,Yabucoa,22582,JOSê CAMPECHE,SPR,M,38
Humacao,Yabucoa,22582,JOSê CAMPECHE,SPR,M,39
San Juan,Carolina,65003,DR. JOSê M. LµZARO,SPR,F,40
Humacao,Yabucoa,22582,JOSê CAMPECHE,SPR,M,41
MayagÅez,Cabo Rojo,43315,LOLA RODR÷GUEZ DE TI‡,SPR,F,42
MayagÅez,MayagÅez,48298,EUGENIO MAR÷A DE HOSTOS,SPR,F,43
Ponce,Santa Isabel,56119,CARMEN BELêN VEIGA,SPR,F,44
San Juan,San Juan II,62950,RAM‡N VILA MAYO,SPR,F,45
Bayam¢n,Bayam¢n,70516,DR AGUSTIN STAHL,SPR,M,46
MayagÅez,Aguadilla,46656,BENITO CEREZO MARQUEZ,SPR,M,47
Ponce,Santa Isabel,56119,CARMEN BELêN VEIGA,SPR,F,48
Ponce,Yauco,55244,SUPERIOR OCUPACIONAL Y TECNICA DE YAUCO,SPR,F,49
Humacao,Las Piedras,34785,JOSê COLLAZO COLON,SPR,F,50
San Juan,San Juan I,61382,GABRIELA MISTRAL,SPR,F,51
Bayam¢n,Bayam¢n,70615,MIGUEL DE CERVANTES SAAVEDRA,SPR,F,52
Bayam¢n,Bayam¢n,70623,TOMAS C. ONGAY,SPR,M,53
MayagÅez,San Sebast°an,47902,SUP. VOC. MANUEL M. LICIAGA,SPR,M,54
Caguas,Guayama,36053,SUPERIOR URBANA NUEVA,SPR,F,55
Bayam¢n,Toa Baja,71381,NICOLµS SEVILLA,SPR,F,56
Arecibo,Arecibo,17558,SUP.VOC.NUEVA (ANTONIO LUCHETTI),SPR,M,57
Arecibo,Manat°,10827,JUAN PONCE DE LE‡N,SPR,F,58
Arecibo,Manat°,10827,JUAN PONCE DE LE‡N,SPR,M,59
Arecibo,Camuy,17384,LU÷S F. CRESPO (SUP. NUEVA),SPR,M,60
Arecibo,Camuy,17384,LU÷S F. CRESPO (SUP. NUEVA),SPR,F,61
Arecibo,Arecibo,17558,SUP.VOC.NUEVA (ANTONIO LUCHETTI),SPR,F,62
Arecibo,Camuy,17384,LU÷S F. CRESPO (SUP. NUEVA),SPR,F,63
Arecibo,Camuy,17327,SUPERIOR MIGUEL FELIPE SANTIAGO ECHEGARAY,SPR,M,64
Arecibo,Arecibo,14241,TRINA PADILLA DE SANZ,SPR,M,65
Arecibo,Arecibo,18192,ESC. SUP. MARIA CADILLA DE MARTINEZ,SPR,M,66
Arecibo,Manat°,10827,JUAN PONCE DE LE‡N,SPR,F,67
Arecibo,Arecibo,17772,PADRE AN÷BAL REYES BELêN (SUP NUEVA),SPR,F,68
Arecibo,Arecibo,11528,LORENZO COBALLES GANDIA,SPR,F,69
Arecibo,Camuy,17384,LU÷S F. CRESPO (SUP. NUEVA),SPR,F,70
Arecibo,Arecibo,11528,LORENZO COBALLES GANDIA,SPR,F,71
Arecibo,Arecibo,17772,PADRE AN÷BAL REYES BELêN (SUP NUEVA),SPR,F,72
Arecibo,Arecibo,17558,SUP.VOC.NUEVA (ANTONIO LUCHETTI),SPR,M,73
Arecibo,Arecibo,17772,PADRE AN÷BAL REYES BELêN (SUP NUEVA),SPR,M,74
Arecibo,Arecibo,17772,PADRE AN÷BAL REYES BELêN (SUP NUEVA),SPR,F,75
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,76
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,77
MayagÅez,San Sebast°an,15792,DR. HERIBERTO DOMENECH,SPR,M,78
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,79
MayagÅez,San Sebast°an,15792,DR. HERIBERTO DOMENECH,SPR,F,80
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,81
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,82
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,83
MayagÅez,San Sebast°an,15248,FRANCISCO MENDOZA,SPR,M,84
MayagÅez,Aguadilla,40022,SUP. DR. CARLOS GONZµLEZ,SPR,M,85
MayagÅez,San Sebast°an,47902,SUP. VOC. MANUEL M. LICIAGA,SPR,F,86
Arecibo,Camuy,11593,GABRIELA MISTRAL,SCR,M,87
MayagÅez,San Sebast°an,47902,SUP. VOC. MANUEL M. LICIAGA,SPR,F,88
Arecibo,Camuy,11643,DOMINGO APONTE COLLAZO,SPR,F,89
Bayam¢n,Bayam¢n,70219,PAPA JUAN XXIII SUPERIOR,SPR,F,90
Humacao,Canovanas,33233,PEDRO FALU ORELLANO,SPR,M,91
Ponce,Yauco,58305,LOAIZA CORDERO DEL ROSARIO,SPR,F,92
MayagÅez,Aguadilla,40022,SUP. DR. CARLOS GONZµLEZ,SPR,M,93
San Juan,San Juan I,64402,ERNESTO RAMOS ANTONINI (ESPECIALIZADA),SCR,M,94
Bayam¢n,Toa Baja,70813,FRANCISCO OLLER,SPR,M,95
Humacao,Las Piedras,34884,PETRA MERCADO,SPR,F,96
Bayam¢n,Toa Baja,70813,FRANCISCO OLLER,SPR,F,97
San Juan,Guaynabo,75739,ROSALINA C. MARTINEZ,SCR,F,98
Bayam¢n,Toa Baja,70813,FRANCISCO OLLER,SPR,M,99
Arecibo,Vega Alta,71092,JOSê SANTOS ALEGR÷A,SPR,M,100
Arecibo,Vega Alta,71092,JOSê SANTOS ALEGR÷A,SPR,M,101
Bayam¢n,Toa Baja,78931,ADELA ROLON FUENTES,SPR,M,102
